"","logFC","logCPM","PValue","FDR"
"YLR413W",-1.7838244372557,7.76874181419698,1.17302163290436e-108,1.0516316669538e-106
"YOR383C",0.721780903087733,11.3728150415267,5.77800603022247e-105,5.1027554747502e-103
"YOL158C",-1.82018160047845,7.7013793461623,5.99546690562748e-104,5.21693789420556e-102
"YPR035W",-0.522946567670206,11.161689726229,1.71277470544657e-103,1.46876636697498e-101
"YBL003C",1.20580922973149,9.07780889934839,3.36509230837215e-102,2.84446445551972e-100
"YBR296C",-3.48687999949858,6.62480874032484,4.08822929280578e-99,3.40704967965237e-97
"YJR029W",-3.02564971080133,9.15490713279519,5.68410559943051e-98,4.67122955997644e-96
"YDL022W",-1.205627540762,8.76349007303853,5.10523584053297e-96,4.13803842033337e-94
"YCL040W",-0.462452585761325,11.4157818188922,9.43091874245942e-96,7.5409116485314e-94
"YAR015W",-1.61178025730261,7.86733924235744,7.58975929750096e-95,5.98781410177509e-93
"YBR118W",-0.327041490302404,13.7944404055613,3.20882646538297e-90,2.49824028890409e-88
"YBR011C",0.708945172524035,10.2551451597687,3.52815409373358e-88,2.7111802302106e-86
"YLR359W",-1.22132358398483,8.76354473461623,1.88305261435883e-86,1.42846439989246e-84
"YLR350W",1.09933775182768,8.96260416810057,6.27479862109351e-86,4.69974473936839e-84
"YOR374W",0.887944662965047,10.4958044608473,1.32721778226749e-85,9.81643452209589e-84
"YLL050C",1.03121236378791,9.09621214235524,9.87444129272178e-85,7.21321841099195e-83
"YER056C",-1.4159583116684,8.06590498943974,5.94317773449212e-84,4.28851007987681e-82
"YDR019C",-2.7450060481747,6.44371069315821,4.24984790058982e-82,3.02968072623976e-80
"YNL160W",-2.34580933737462,6.94957212780675,6.56732714790674e-79,4.62605651597192e-77
"YNL031C",1.03706795732681,9.69485565302154,9.28264561389826e-79,6.46181342322776e-77
"YDR055W",-1.76346750439227,7.36136573084275,9.89458982583349e-79,6.80770790691358e-77
"YMR011W",-0.369594008603082,11.7613793788667,5.27731510714026e-77,3.58918086079873e-75
"YNL208W",-0.685993705701107,10.1345123629288,3.80420078632743e-76,2.5578927332613e-74
"YPL019C",-1.67940637525936,7.5213992719224,4.85727871578424e-76,3.22927170351633e-74
"YBR031W",-0.42563151518032,11.3129940495126,4.99285319316008e-76,3.2825235937698e-74
"YDL184C",0.958739065624618,9.09719641487381,1.47293778401288e-73,9.57733282198266e-72
"YMR300C",-1.79247678234236,7.22207718795745,4.2882785198157e-73,2.75801565236408e-71
"YBR196C",-0.595243595493695,11.0110772609672,4.93906584259192e-73,3.14241425705552e-71
"YJR104C",-0.644012512519003,10.7895964783701,5.22762254634478e-73,3.2906215539066e-71
"YDL039C",-2.32368884050205,6.54095805941075,1.04178362623105e-72,6.48866706990432e-71
"YHL021C",-1.3826899068797,7.88262135385614,2.32470157927858e-72,1.43283950464493e-70
"YLL024C",-0.601053389770079,10.7979740207016,2.36988641904256e-72,1.44563071561596e-70
"YOL016C",-1.23102378642549,8.57599428212815,3.06451558990896e-72,1.85027946382564e-70
"YGR061C",-1.04705825866248,8.92423929634355,5.20316291793867e-72,3.1098095944892e-70
"YBR092C",-2.39793404851682,6.66582758736992,4.35932999186146e-70,2.57941555618443e-68
"YGL189C",0.588777481901651,10.3597005142365,7.62813487299444e-69,4.46887861816912e-67
"YLR194C",-0.971683255673924,8.74314706741389,1.92516269012315e-67,1.11678310171164e-65
"YLR180W",-0.94982358469692,8.9143790763006,1.41528183771709e-66,8.11597386346443e-65
"YLR355C",-0.784496650207895,9.74809091515315,1.42650208179872e-66,8.11597386346443e-65
"YIL121W",-2.62749477390201,6.25441428289249,9.94481009017321e-65,5.60413726700523e-63
"YER072W",-1.16122298016846,8.14863002244206,8.13526621745392e-63,4.54116700081838e-61
"YJR148W",-1.32494654664042,7.74878404627359,4.02281019736824e-61,2.22457644278765e-59
"YHR136C",-3.99583281272202,5.26454264272998,1.45486424791754e-60,7.97077014345191e-59
"YKL182W",-0.712144662870983,9.54032222850834,1.52027267720032e-59,8.25270956971952e-58
"YBL002W",1.2301008164757,8.22096682344451,5.65421207311475e-58,3.04145207605636e-56
"YDR155C",-0.441134571340407,11.3878742054855,2.02457929200665e-57,1.07922843881111e-55
"YHR183W",-0.677448790702819,9.7968620532989,1.29087275295474e-56,6.81972685645819e-55
"YOR273C",-1.37171343394855,7.51342457207969,2.63286953723143e-56,1.37864504883171e-54
"YDL182W",-1.29861862744281,8.15427120355092,1.52539273186142e-55,7.91732350388072e-54
"YKL062W",-1.7376416675511,6.93473842715833,1.62104225181859e-54,8.34061478609619e-53
"YKL056C",-0.509231542102821,10.9352501534995,2.24191237930867e-54,1.14356858175598e-52
"YHL047C",-1.56426678159982,7.46577289228359,7.38329972159968e-54,3.73393029510302e-52
"YPL231W",-0.416550054780941,10.8368687360307,1.15971317566764e-53,5.81527361053e-52
"YKR039W",1.75600396065375,7.27393581706181,2.43769615335931e-53,1.21208807894345e-51
"YJL158C",-0.684305632663678,9.62816452719872,6.11444869034784e-53,3.01493274173235e-51
"YGR189C",0.704378926417357,9.69485680721337,1.1065940633808e-52,5.41133642398696e-51
"YGR161C",1.02459568792362,8.64049005622389,1.21464086963456e-52,5.8910082177276e-51
"YBR162C",0.567272178138715,10.0178921800046,1.7424207524272e-52,8.38203544074126e-51
"YBR093C",-1.62485798664907,6.89673287638145,4.22518102773269e-51,2.01616097912051e-49
"YKR057W",-0.563688756573439,9.87117347053538,8.49416978102176e-51,4.02080020754446e-49
"YMR122W-A",-0.703773267832231,9.86310580898822,9.9041320890712e-51,4.65101187071701e-49
"YPR124W",-0.982217003631164,8.31655584897983,2.47934327323217e-50,1.15513969667045e-48
"YJL012C",-1.20362226107753,8.04339993242573,4.235634217961e-50,1.95798809903713e-48
"YLR108C",2.48487895663679,6.34323858654667,2.21413671742248e-49,1.01558503542549e-47
"YDR406W",-1.44025508573328,7.27264911571554,4.11417911232376e-49,1.87258444673998e-47
"YFL054C",1.69067279852483,7.46690881853339,7.65916213700316e-49,3.45948567669067e-47
"YGR204W",-0.555386238901457,9.81171557334327,3.19578452201615e-48,1.43253462248254e-46
"YGL147C",-0.438398475448564,10.4896352887716,3.28545967232023e-47,1.46165901361796e-45
"YER190C-B",1.41608423664656,7.67581373632279,1.18473442576387e-46,5.23139820689914e-45
"YJR145C",-0.365869527421505,11.3259683106174,3.16244994479493e-46,1.38609009802604e-44
"YHR146W",1.19596973775228,7.89449969274078,4.46605172779901e-46,1.94306088774903e-44
"YAL044C",-1.52631434391787,7.14914289796377,1.62809981935211e-45,7.03172746796088e-44
"YHR162W",0.944716012926885,8.46230048828999,4.13844199205597e-45,1.77443197586922e-43
"YDR224C",0.635771143610918,9.50271576812138,6.88579290908918e-45,2.93116810381875e-43
"YBR212W",0.968595674765277,8.38263672537161,1.05816411058544e-44,4.47225503023859e-43
"YCR021C",-2.23710749902218,6.08817188985213,1.59231950449384e-44,6.68209539580855e-43
