"","logFC","logCPM","PValue","FDR"
"Q0250",1.64265779874385,0.752202519403809,0.999999999999998,1
"Q0275",1.64265779874385,0.752202519403809,0.999999999999998,1
"YLL006W-A",1.6425745458145,0.752201682369283,0.999999999999998,1
"Q0055",1.6425745458145,0.752201682369283,0.999999999999998,1
"Q0105",1.6425745458145,0.752201682369283,0.999999999999998,1
"YAL018C",1.64252470854452,0.752201181216013,0.999999999999998,1
"YBL100W-C",1.64252470854452,0.752201181216013,0.999999999999998,1
"YLR308W",1.64252470854452,0.752201181216013,0.999999999999998,1
"YLR412C-A",1.64252470854452,0.752201181216013,0.999999999999998,1
"YNL277W-A",1.64252470854452,0.752201181216013,0.999999999999998,1
"YNL339C",1.64252470854452,0.752201181216013,0.999999999999998,1
"Q0045",1.64252470854452,0.752201181216013,0.999999999999998,1
"YAR020C",0.155992282054374,2.29965635414669,0.999999999999998,1
"YHR214C-D",0.683398167339689,1.05174870337403,0.999999999999998,1
"YOL038C-A",0.683398267928381,1.05174870337403,0.999999999999998,1
"YMR175W-A",0.506761565184304,1.29966779552031,0.999999999999999,1
"YPR116W",0.156335991023692,2.29965876387515,0.999999999999999,1
"YMR069W",-0.103073015752742,2.63683386419961,0.999999999999999,1
"YHR079C-A",-1.38844788982497,0.958786345708509,0.999999999999999,1
"YOR183W",0.68370309320915,1.05174878914038,0.999999999999999,1
"YBR221W-A",0.683340484817607,1.05174820253789,0.999999999999999,1
"YBR200W-A",-0.639874503753648,1.05185315480903,0.999999999999999,1
"YOR214C",0.506447582154857,1.29966564035688,0.999999999999999,1
"YJR160C",-0.195908622098724,2.80680218405397,0.999999999999999,1
"YNL195C",-0.0301004473303055,4.42692016466672,0.999999999999999,1
"YOR280C",0.0153856190985038,5.13919122002848,0.999999999999999,1
"YPL098C",-0.00601348177276805,6.00314244905683,0.999999999999999,1
"YPL250C",0.00472928765490716,6.04045344456159,0.999999999999999,1
"YPL033C",0.683671649018462,1.05174828830422,0.999999999999999,1
"YGL258W-A",0.0304408010296966,2.44410995024873,0.999999999999999,1
"YIL070C",0.00776513051005023,5.36012174503198,0.999999999999999,1
"YAR042W",0.00379699222226691,7.28418050501533,0.999999999999999,1
"YNL086W",0.0159434958379026,3.63675840323052,0.999999999999999,1
"YCL054W-A",0.431113866301011,1.51115782390436,1,1
"YIL046W-A",0.223825238373396,1.44407974358551,1,1
"YIR020C",0.0776280819640307,2.72417674870157,1,1
"YOL141W",-0.0747208928056142,1.69567547092337,1,1
"YBL074C",0.0501040693947063,3.33713973410278,1,1
"YOR302W",0.233077492592027,1.95861646177893,1,1
"YMR095C",0.145204107904255,2.18103213461017,1,1
"YER069W",0.00722002421031195,6.13121404186761,1,1
"YOR260W",0.00499424478442477,6.8639468472466,1,1
"YOR207C",0.00209546207397459,7.09343511429104,1,1
"YDR014W-A",0.22396907694129,1.44408191520784,1,1
"YNR066C",-0.0687537480362296,2.93450660085609,1,1
"YFL010W-A",0.00488940418578227,6.54560739303141,1,1
"YDL025C",0.00357393222825523,7.00301487800468,1,1
"YHR185C",-1.38828749338142,0.958786664443777,1,1
"YFR012W-A",0.683415594283068,1.0517507743511,1,1
"YOR381W-A",0.683329410258391,1.05174993784322,1,1
"YDR374C",-0.640345678366528,1.05185689270578,1,1
"YMR001C-A",-0.640075858827454,1.05185783215742,1,1
"YBL008W-A",-0.555109766038089,0.859184019318985,1,1
"YNL269W",-0.554976675838758,0.85918535729167,1,1
"YKL106C-A",-0.554853123175103,0.859184623530169,1,1
"YBR040W",-0.554775513650138,0.859182033759778,1,1
"YPR096C",-0.554725676380162,0.859182534831515,1,1
"YHR126C",-0.554642423450808,0.85918337173063,1,1
"YLR445W",-0.554642423450808,0.85918337173063,1,1
"YOR032W-A",0.50663511415132,1.29966488953962,1,1
