"","logFC","logCPM","PValue","FDR"
"lcl|AE014134.6_gene_2443",-5.04416752468528,5.60548750479089,0.00832897784637185,1
"lcl|AE014134.6_gene_100",1.18019648392223,7.67138381252245,0.00879298034781936,1
"lcl|AE014296.5_gene_2972",2.22814754220562,6.30719661849251,0.00893470907949743,1
"lcl|AE014134.6_gene_291",1.0866539068154,7.81816475798898,0.00895018497556281,1
"lcl|AE013599.5_gene_79",2.55806004646783,6.12877581309103,0.00896144291633031,1
"lcl|AE013599.5_gene_3091",-0.690557616112279,9.1236346008077,0.00908305921787621,1
"lcl|AE014297.3_gene_870",-0.524634549828357,10.5643567519097,0.00910373517355561,1
"lcl|AE014134.6_gene_1097",-1.76109950875166,6.73315275593358,0.0092737430800899,1
"lcl|AE014134.6_gene_1027",1.02780788953235,8.18673016477899,0.00945206128660359,1
"lcl|AE013599.5_gene_2351",-0.968543021030019,8.06581162633576,0.00993505007076823,1
"lcl|AE014297.3_gene_3201",-1.13241876850769,8.12319335974447,0.0101709599845948,1
"lcl|AE014297.3_gene_2808",1.04867679016292,8.01369317521991,0.0102355960299331,1
"lcl|NC_004354.4_gene_1760",-0.993316348034018,7.98012477427905,0.0103184925082465,1
"lcl|AE014297.3_gene_4155",-0.821214055295746,9.33649569349806,0.0107048626767588,1
"lcl|AE014134.6_gene_1318",2.01862319519641,6.46627032951942,0.01080472342715,1
"lcl|AE014134.6_gene_2048",-0.810117813214791,8.52457018690741,0.0111523724978338,1
"lcl|AE013599.5_gene_2653",-1.14174804391669,7.6517159040055,0.0113496131202916,1
"lcl|AE013599.5_gene_455",0.931531603490777,11.7650849740376,0.0114691281722292,1
"lcl|AE014134.6_gene_2987",0.611160683811891,9.30778205697705,0.0115813639948904,1
"lcl|AE014296.5_gene_868",5.04060613730501,5.60592876869349,0.0121850762656508,1
"lcl|AE014296.5_gene_267",5.04060556196052,5.60592876869349,0.0121861621693932,1
"lcl|AE013599.5_gene_1753",1.30529185942114,7.24911417545402,0.0122576465909238,1
"lcl|NC_004354.4_gene_706",-1.61441672671372,6.81397489771527,0.0123054512063336,1
"lcl|AE014297.3_gene_2166",-0.551880724545413,9.92020616700425,0.0123861541454307,1
"lcl|AE013599.5_gene_22",2.2367929404962,6.30624175897914,0.0124118599924048,1
"lcl|AE013599.5_gene_18",0.874314575068874,9.18185120354742,0.0126032214223406,1
"lcl|AE013599.5_gene_1",-0.756484178972317,9.18225546373001,0.012691281250503,1
"lcl|AE013599.5_gene_1027",-1.30855293320032,7.25175165503244,0.012790270819442,1
"lcl|AE014134.6_gene_190",1.69339764684809,6.69544498514597,0.0127937121109963,1
"lcl|AE014296.5_gene_1176",3.03426490262752,5.85520442776545,0.0132390035015852,1
"lcl|AE014296.5_gene_633",0.813927520071283,8.42682516700427,0.0135723068523331,1
"lcl|AE014297.3_gene_1469",2.22315738956948,6.30669344837821,0.0136942545421475,1
"lcl|AE014297.3_gene_3422",1.32613652464881,7.16204271986421,0.0138656057386511,1
"lcl|AE014134.6_gene_1307",2.44459753198486,6.06500675764051,0.0139627606642483,1
"lcl|NC_004354.4_gene_1535",-3.0401898388112,5.85538714560574,0.0141280052331209,1
"lcl|AE013599.5_gene_1689",1.14927570179451,7.58496114597201,0.0144644383263898,1
"lcl|AE014134.6_gene_3214",2.44205212969492,6.06674444053099,0.0147115084059447,1
"lcl|AE013599.5_gene_2858",-3.03232311163342,5.85236067415501,0.0148348263682958,1
"lcl|AE014297.3_gene_1692",-0.972219655911572,8.01918579713948,0.0150106399197038,1
"lcl|AE014297.3_gene_2413",0.711034382095767,9.32909903441385,0.0150505931573719,1
"lcl|AE014297.3_gene_366",0.895798202638365,8.16126077368486,0.0152967921504173,1
"lcl|NC_004354.4_gene_763",-4.85846602354583,5.51286052442759,0.0156481996876976,1
"lcl|AE014297.3_gene_1595",0.992188975085427,7.81519412991713,0.0159470606039464,1
"lcl|AE014296.5_gene_3002",1.3287764376913,7.16183420396283,0.0159474365384627,1
"lcl|AE014297.3_gene_989",-1.80380359542868,6.56333977628554,0.0161139100310394,1
"lcl|AE014134.6_gene_3098",4.85737632743349,5.51319376948206,0.0163552274665933,1
"lcl|AE013599.5_gene_1505",1.21985704374853,7.39014784113562,0.0164144630538833,1
"lcl|AE014296.5_gene_237",1.01053277949669,10.341842227341,0.0164526769063035,1
"lcl|NC_004354.4_gene_398",4.85768221108581,5.51345704517761,0.016558000445474,1
"lcl|AE014296.5_gene_1475",-4.86019619383377,5.5138866865249,0.0172254016653594,1
"lcl|AE014297.3_gene_885",-1.03312252358612,8.97868539749878,0.0173617557894175,1
"lcl|AE014296.5_gene_2144",-1.35331462240121,7.06265477493498,0.0180110293164338,1
"lcl|NC_024512.1_gene_34",-0.832810526263787,8.72013560082052,0.0180216409387384,1
